[TutorialStory], 4.30, 14, v, smile
[TutorialStory], 4.30, 15, v, smile
[TutorialStory], 4.30, 15, v, smile
[TutorialStory], 5.00, NaN, NaN, NaN
[TutorialStory], 5.30, NaN, NaN, NaN
[TutorialStory], 6.00, NaN, NaN, NaN
[TutorialStory], 6.30, NaN, NaN, NaN
[TutorialStory], 7.00, NaN, NaN, NaN
[TutorialStory], 7.30, NaN, NaN, NaN
[TutorialStory], 8.00, NaN, NaN, NaN
[TutorialStory], 8.30, NaN, NaN, NaN
[TutorialStory], 9.00, NaN, NaN, NaN
[TutorialStory], 9.00, 14, v, smile
[TutorialStory], 9.00, 15, v, smile
[TutorialStory], 9.00, 15, v, smile
[TutorialStory], 9.00, 15, v, smile
[TutorialStory], 9.00, 14, v, smile
[TutorialStory], 9.30, 15, i, EMOTE
[TutorialStory], 9.30, 14, v, smile
[TutorialStory], 9.30, 15, v, smile
[TutorialStory], 10.00, 15, v, smile
[TutorialStory], 10.00, 15, v, smile
[TutorialStory], 10.00, 14, v, smile
[TutorialStory], 10.30, 15, v, nod
[TutorialStory], 10.30, 14, v, nod
[TutorialStory], 10.30, 14, v, smile
[TutorialStory], 10.30, 15, v, smile
[TutorialStory], 10.30, 14, v, smile
[TutorialStory], 10.30, 15, v, smile
[TutorialStory], 10.30, 15, v, smile
[TutorialStory], 10.30, 14, v, smile
[TutorialStory], 11.00, 14, v, smile
[TutorialStory], 11.00, 14, v, smile
[TutorialStory], 11.00, 15, v, smile
[TutorialStory], 11.30, 14, v, smile
[TutorialStory], 11.30, 15, v, smile
[TutorialStory], 11.30, 14, v, smile
[TutorialStory], 12.00, 14, v, smile
[TutorialStory], 12.00, 15, v, smile
[TutorialStory], 12.00, 14, v, smile
[TutorialStory], 12.30, 15, v, smile
[TutorialStory], 12.30, 14, v, smile
[TutorialStory], 12.30, 14, v, smile
[TutorialStory], 13.00, 14, v, smile
[TutorialStory], 13.00, 14, v, smile
[TutorialStory], 13.30, 15, v, smile
[TutorialStory], 14.00, 14, v, smile
[TutorialStory], 14.00, 15, v, smile
[TutorialStory], 14.30, NaN, NaN, NaN
[TutorialStory], 15.00, NaN, NaN, NaN
[TutorialStory], 15.30, 15, v, smile
[TutorialStory], 15.30, 14, v, smile
[TutorialStory], 16.00, 15, v, smile
[TutorialStory], 16.30, 14, v, nod
[TutorialStory], 16.30, 15, v, smile
[TutorialStory], 17.00, 14, v, smile
[TutorialStory], 17.00, 14, v, smile
[TutorialStory], 17.00, 15, v, smile
[BetweenTutorial], 17.15, 15, v, smile
[BetweenTutorial], 17.15, 14, v, smile
[BetweenTutorial], 17.15, 15, v, smile
[BetweenTutorial], 17.15, 14, v, smile
[BetweenTutorial], 17.45, 14, v, smile
[BetweenTutorial], 18.15, 15, i, EMOTE
[BetweenTutorial], 18.45, NaN, NaN, NaN
[BetweenTutorial], 19.15, 15, v, smile
[BetweenTutorial], 19.45, 15, v, smile
[BetweenTutorial], 19.45, 14, v, smile
[BetweenTutorial], 19.45, 14, v, smile
[BetweenTutorial], 20.15, 14, v, smile
[BetweenTutorial], 20.15, 15, v, nod
[BetweenTutorial], 20.15, 15, v, nod
[BetweenTutorial], 20.45, NaN, NaN, NaN
[AOLV2], 21.00, 15, v, smile
[AOLV2], 21.00, 14, v, smile
[AOLV2], 21.30, 15, v, smile
[AOLV2], 22.0, 15, v, smile
[AOLV2], 22.30, NaN, NaN, NaN
[AOLV2], 23.00, 14, v, nod
[AOLV2], 23.00, 14, v, smile
[AOLV2], 23.30, 14, v, smile
[AOLV2], 23.30, 14, v, smile
[AOLV2], 24.00, 14, v, smile
[AOLV2], 24.00, 14, v, pointing
[AOLV2], 24.00, 14, v, pointing
[AOLV2], 24.30, 14, v, smile
[AOLV2], 25.00, 14, v, smile
[AOLV2], 25.00, 15, v, smile
[AOLV2], 25.00, 14, v, smile
[AOLV2], 25.30, 15, v, smile
[AOLV2], 25.30, 14, v, smile
[AOLV2], 25.30, 15, v smile
[AOLV2], 25.30, 14, v smile
[AOLV2], 26.00, 14, v, smile
[AOLV2], 26.00, 15, v, smile
[AOLV2], 26.00, 14, v, smile
[AOLV2], 26.30, NaN, NaN, NaN
[AOLV2], 27.00, NaN, NaN, NaN
[AOLV2], 27.30, NaN, NaN, NaN
[AOLV2], 28.00, 15, v, headshake
[AOLV2], 28.30, 14, v, smile
[AOLV2], 28.30, 14, v, smile
[AOLV2], 28.30, 15, v, smile
[AOLV2], 28.30, 14, v, smile
[AOLV2END], 29.00, 14, v, smile
[AOLV2END], 29.00, 15, v, smile
[AOLV2END], 29.00, 15, v, handmovement
[AOLV4], 29.30, NaN, NaN, NaN
[AOLV4], 30.00, 15, v, smile
[AOLV4], 30.00, 15, v, nod
[AOLV4], 30.00, 14, v, smile
[AOLV4], 30.30, 15, v, nod
[AOLV4], 30.30, 14, v, smile
[AOLV4], 31.00, 14, v, nod
[AOLV4], 31.00, 14, v, smile
[AOLV4], 31.30, 14, v, pointing
[AOLV4], 32.00, 14, v, smile
[AOLV4], 32.00, 14, v, smile
[AOLV4], 32.30, 14, v, smile
[AOLV4], 32.30, 14, v, smile 
[AOLV4], 33.00, 15, v, pointing
[AOLV4], 33.00, 14, v, smile
[AOLV4], 33.00, 15, v, smile
[AOLV4END], 33.30, 14, v, smile
[AOLV4END], 33.30, 14, v, handsmovement
[AOLV4END], 33.30, 15, v, smile
[AOLV4END], 33.30, 15, v, handsmovement
[AOLV4END], 33.30, 14, v, smile
[AOLV4END], 34.00, 14, v, headshake
[AOLV5], 34.15, 14, v, smile
[AOLV5], 34.15, 15, v, smile
[AOLV5], 34.45, 14, v, headshake
[AOLV5], 34.45, 15, v, smile
[AOLV5], 35.15, NaN, NaN, NaN
[AOLV5], 35.45, NaN, NaN, NaN
[AOLV5], 36.15, 14, v, headshake
[AOLV5], 36.15, 14, v, smile
[AOLV5], 36.15, 15, v, pointing
[AOLV5], 36.45, 14, v, smile
[AOLV5], 36.45, 15, v, pointing
[AOLV5], 37.15, 14, v, headshake
[AOLV5], 37.45, 14, v, smile
[AOLV5], 38.15, 14, v, headshake
[AOLV5], 38.15, 14, v, smile
[AOLV5], 38.15, 15, v, smile
[AOLV5], 38.45, 14, v, headshake
[AOLV5END], 39.00, 14, v, smile
[AOLV5END], 39.00, 15, v, smile
[AOLV5END], 39.00, 14, v, handmovement
[AOLV5END], 39.00, 14, v, smile
[AOLV5END], 39.00, 15, v, smile
[AOLV5END], 39.30, NaN, NaN, NaN
[AOLV5END], 40.00, NaN, NaN, NaN
[AVLV1], 40.15, 15, v, smile
[AVLV1], 40.15, 14, v, smile
[AVLV1], 40.45, 15, v, smile
[AVLV1], 40.45, 14, v, nod
[AVLV1], 41.15, NaN, NaN, NaN
[AVLV1], 41.45, 14, v, smile
[AVLV1], 42.15, 14, v, smile
[AVLV1], 42.45, NaN, NaN, NaN
[AVLV1], 43.15, 14, v, smile
[AVLV1END], 43.30, 14, v, smile
[AVLV1END], 43.30, 15, v, smile
[AVLV1END], 43.30, 14, v, nod
[AVLV1END], 43.30, 14, v, smile
[AVLV1END], 43.30, 15, v, thumbsup
[AVLV1END], 43.30, 15, v, smile
[AVLV1END], 44.00, 14, v, nod
[AVLV1END], 44.00, 15, v, nod
[AVLV3], 44.30, 15, v, nod
