[AOLV6END], 24.15, 21, v,  smile
[AOLV6END], 24.15, 20, v,  handsup
[AOLV6END], 24.15, 20, v,  thumbsup
[AOLV6END], 24.15, 20, i,  EMOTE
[AOLV6END], 24.15, 21, v,  smile
[AOLV6END], 24.45, 20, v, nod
[AOLV6END], 24.45, 20, v, wave
[AOLV6END], 24.45, 21, v, wave
[AOLV6END], 25.15, 20, v, wave 
[AOLV6END], 25.15, 20, v, wave
[AOLV6END], 25.15, 20, v, smile
[AOLV6END], 25.15, 21, v,  smile
[AOLV6END], 25.15, 20, v,  smile
[AOLV6END], 25.15, 21, v,  smile
[AVLV2], 25.45, 21, v, smile 
[AVLV2], 25.45, 20, v,  smile
[AVLV2], 25.45, 21, v,  nod
[AVLV2], 25.45, 20, v, smile
[AVLV2], 25.45, 20, v,  pointing 
[AVLV2], 25.45, 20, v,  headshake
[AVLV2], 25.45, 20, v,  nod
[AVLV2], 25.45, 21, v,  nod
[AVLV2], 26.15, 20, v,  smile
[AVLV2], 26.15, 21, v,  headshake
[AVLV2], 26.15, 20, v,  smile
[AVLV2], 26.15, 21, v,  nod
[AVLV2], 26.15, 20, v,  nod
[AVLV2], 26.15, 20, v, smile
[AVLV2], 26.45, 20, v,  smile
[AVLV2], 26.45, 21, v,  smile 
[AVLV2], 26.45, 21, v, nod
[AVLV2], 26.45, 21, v, nod
[AVLV2], 26.45, 20, v, smile
[AVLV2], 27.15, 21, v, smile
[AVLV2], 27.15, 20, v,  smile
[AVLV2], 27.45, 21, v,  smile
[AVLV2], 27.45, 20, v,  smile
[AVLV2], 27.45, 21, v,  smile
[AVLV2], 27.45, 20, v,  smile
[AVLV2], 28.15, 21, v,  nod
[AVLV2], 28.45, 21, v, smile
[AVLV2], 28.45, 20, v, smile
[AVLV2], 28.45, 20, v,  smile
[AVLV2], 28.45, 21, v,  smile
[AVLV2], 28.45, 21, v, headshake
[AVLV2], 28.45, 20, v,  smile
[AVLV2END], 29.15, 21, v,  smile
[AVLV2END], 29.15, 20, v, handmove
[AVLV2END], 29.15, 20, v, smile
[AVLV2END], 29.15, 20, i,  EMOTE
[AVLV2END], 29.15, 20, i, EMOTE
[AVLV2END], 29.45, 20, v,  smile
[AVLV2END], 29.45, 21, v,  smile
[AVLV2END], 29.45, 20, v, smile
[AVLV2END], 29.45, 20, v,  nod
[AVLV2END], 29.45, 21, v,  smile
[AVLV2END], 29.45, 20, v,  headshake
[AVLV2END], 29.45, 21, v,  smile
[AVLV2END], 30.15, 20, v, smile
[AVLV2END], 30.15, 20, v,  handmovement
[AVLV2END], 30.15, 21, v,  headshake
[AVLV2END], 30.15, 21, v, headshake
[AVLV2END], 30.15, 20, v, smile
[AVLV4], 30.45, 20 v, smile
[AVLV4], 31.15, 20, v,  smile
[AVLV4], 31.15, 21, v,  smile
[AVLV4], 31.45, 20, v, smile
[AVLV4], 31.45, 21, v,  smile
[AVLV4], 31.45, 21, v,  nod
[AVLV4], 31.45, 21, v,  headshake
[AVLV4], 31.45, 21, v, smile
[AVLV4], 31.45, 20, v,  smile
[AVLV4], 32.15, 21, v,  smile
[AVLV4], 32.15, 20, v,  smile
[AVLV4], 32.15, 20, v,  smile
[AVLV4], 32.15, 21, v, smile
[AVLV4], 32.45, 21, v, smile 
[AVLV4], 32.45, 20, v,  smile
[AVLV4], 33.15, 20, v, smile
[AVLV4], 33.15, 21, v, smile
[AVLV4], 33.15, 20, v,  smile
[AVLV4], 33.45, NaN, NaN, NaN
[AVLV4END], 34.15, 20, v,  smile
[AVLV4END], 34.15, 21, v, smile
[AVLV4END], 34.15, 21, v, headshake
[AVLV4END], 34.15, 20, v,  handmovement
[AVLV4END], 34.15, 20, v,  smile
[AVLV4END], 34.15, 21, v, smile
[AVLV4END], 34.15, 21, v,  smile
[AVLV4END], 34.45, 20, v, shrug
[AVLV4END], 34.45, 20, v,  nod
[AVLV4END], 34.45, 21, v,  nod
[AVLV4END], 34.45, 20, v,  nod
[AVLV4END], 34.45, 21, v, smile
[AVLV5], 35.15, 20, v,  nod
[AVLV5], 35.15, 21, v, nod
[AVLV5], 35.15, 21, v,  smile
[AVLV5], 35.15, 20, v,  nod
[AVLV5], 35.15, 21, v,  handmovement
[AVLV5], 35.15, 20, v,  smile
[AVLV5], 35.15, 21, v,  nod
[AVLV5], 35.45, 21, v,  nod 
[AVLV5], 35.45, 21, v, smile
[AVLV5], 35.45, 20, v,  smile
[AVLV5], 36.15, 20, v,  smile
[AVLV5], 36.15, 21, v,  headshake
[AVLV5], 36.45, 21, v,  smile
[AVLV5], 36.45, 20, v,  smile
[AVLV5], 36.45, 21, v,  pointing
[AVLV5], 36.45, 21, v,  smile
[AVLV5], 36.45, 20, v,  smile
[AVLV5], 36.45, 21, v,  smile
[AVLV5], 36.45, 20, v,  smile
[AVLV5], 37.15, 20, v,  smile
[AVLV5], 37.45, 20, v, smile 
[AVLV5], 37.45, 21, v,  smile
[AVLV5], 37.45, 21, v,  smile
[AVLV5], 37.45, 20, v,  smile
[AVLV5], 38.15, 21, v,  smile
[AVLV5], 38.45, 21, v,  smile
[AVLV5], 38.45, 21, v,  smile
[AVLV5], 38.45, 21, v,  headshake
[AVLV5], 39.15, 20, v,  smile
[AVLV5], 39.15, 20, v,  smile
[AVLV5], 39.15, 21, v,  smile
[AVLV5], 39.15, 20, v, smile
[AVLV5], 39.15, 21, v,  smile
[AVLV5], 39.45, 20, v, smile 
[AVLV5], 39.45, 21, v, smile
[AVLV5END], 40.00, 20, v,  smile
[AVLV5END], 40.00, 21, v, smile
[AVLV5END], 40.00, 20, v,  handmovement
[AVLV5END], 40.00, 20, v,  pointing
[AVLV5END], 40.00, 21, v, smile
[AVLV5END], 40.00, 20, v, smile
[AVLV5END], 40.00, 21, v,  headshake
[AVLV5END], 40.30, NaN, NaN, NaN
