[AVLV5], 42.30, NaN, NaN, NaN
[AVLV5], 43.00, 27, v,  smile
[AVLV5], 43.00, 26, v,  smile
[AVLV5], 43.30, NaN, NaN, NaN
[AVLV5], 44.00, 27, v,  smile
[AVLV5], 44.00, 26, v,  smile
[AVLV5], 44.30, 27, v,  smile
[AVLV5], 44.30, 26, v, smile
[AVLV5], 45.00, 27, v,  smile
[AVLV5], 45.00, 26, v,  smile
[AVLV5], 45.00, 26, v, smile
[AVLV5], 45.00, 27, v,  smile
[AVLV5], 45.00, 26, v,  smile
[AVLV5], 45.00, 27, v,  smile
[AVLV5], 45.30, NaN, NaN, NaN
[AVLV5], 46.00, NaN, NaN, NaN
[AVLV5], 46.30, 27, v,  nod


[AVLV6END], 46.45, NaN, NaN, NaN
